S.No.,Question,Difficulty,Answers
725,What is the square root of 57?,Medium,Not a perfect square
726,What is the square root of 47?,Medium,Not a perfect square
727,What is 69 * 93?,Medium,6417
728,What is the square root of 39?,Hard,Not a perfect square
729,What is 3 - 38?,Hard,-35
730,What is 10 squared?,Hard,100
731,What is the square root of 51?,Medium,Not a perfect square
732,What is 34 - 58?,Hard,-24
733,What is 81 + 2?,Easy,83
734,What is 63 + 3?,Easy,66
735,What is 91 squared?,Hard,8281
736,What is 51 * 42?,Easy,2142
737,What is 19 + 68?,Medium,87
738,What is the square root of 68?,Hard,Not a perfect square
739,What is 55 + 87?,Easy,142
740,What is the square root of 29?,Medium,Not a perfect square
741,What is 38 + 86?,Hard,124
742,What is the square root of 7?,Easy,Not a perfect square
743,What is 72 - 85?,Easy,-13
744,What is 69 - 41?,Medium,28
745,What is 57 squared?,Medium,3249
746,What is 42 - 61?,Easy,-19
747,What is 92 + 72?,Easy,164
748,What is 39 * 81?,Medium,3159
749,What is 21 - 33?,Easy,-12
750,What is 93 - 2?,Medium,91
751,What is 26 - 28?,Medium,-2
752,What is 13 + 69?,Hard,82
753,What is 96 + 84?,Hard,180
754,What is 66 squared?,Easy,4356
755,What is 86 + 55?,Medium,141
756,What is the square root of 36?,Hard,6
757,What is 21 + 10?,Medium,31
758,What is 30 - 86?,Hard,-56
759,What is the square root of 19?,Medium,Not a perfect square
760,What is 26 squared?,Medium,676
761,What is 95 * 68?,Medium,6460
762,What is 47 + 4?,Medium,51
763,What is 88 squared?,Easy,7744
764,What is 23 - 50?,Hard,-27
765,What is 25 squared?,Hard,625
766,What is the square root of 17?,Easy,Not a perfect square
767,What is 52 + 52?,Hard,104
768,What is 57 * 90?,Medium,5130
769,What is 53 * 95?,Easy,5035
770,What is 60 - 14?,Medium,46
771,What is the square root of 68?,Medium,Not a perfect square
772,What is 99 - 25?,Medium,74
773,What is 72 * 14?,Hard,1008
774,What is 13 * 43?,Hard,559
775,What is the square root of 12?,Medium,Not a perfect square
776,What is 44 squared?,Hard,1936
777,What is 76 - 70?,Medium,6
778,What is 77 - 53?,Medium,24
779,What is 32 - 75?,Hard,-43
780,What is 35 * 29?,Hard,1015
781,What is the square root of 34?,Hard,Not a perfect square
782,What is 96 * 73?,Medium,7008
783,What is 24 * 56?,Hard,1344
784,What is 27 * 83?,Easy,2241
785,What is 48 - 31?,Hard,17
786,What is 59 - 17?,Easy,42
787,What is 63 squared?,Medium,3969
788,What is 23 - 41?,Medium,-18
789,What is the square root of 51?,Hard,Not a perfect square
790,What is 30 - 54?,Medium,-24
791,What is the square root of 83?,Medium,Not a perfect square
792,What is 83 squared?,Medium,6889
793,What is 84 + 20?,Medium,104
794,What is the square root of 54?,Easy,Not a perfect square
795,What is 79 - 36?,Hard,43
796,What is the square root of 42?,Medium,Not a perfect square
797,What is 67 * 21?,Hard,1407
798,What is 38 + 2?,Medium,40
799,What is the square root of 7?,Hard,Not a perfect square
800,What is 95 - 68?,Easy,27
801,What is 12 squared?,Hard,144
802,What is 8 * 24?,Hard,192
803,What is 61 * 5?,Easy,305
804,What is the square root of 100?,Easy,10
805,What is the square root of 92?,Medium,Not a perfect square
806,What is 4 squared?,Hard,16
807,What is 34 + 82?,Medium,116
808,What is 80 * 71?,Hard,5680
809,What is the square root of 34?,Medium,Not a perfect square
810,What is 61 - 85?,Medium,-24
811,What is 20 + 5?,Hard,25
812,What is 80 * 88?,Hard,7040
813,What is 48 + 31?,Medium,79
814,What is 63 squared?,Easy,3969
815,What is 98 - 88?,Medium,10
816,What is 27 - 99?,Easy,-72
817,What is the square root of 11?,Medium,Not a perfect square
818,What is 29 + 84?,Medium,113
819,What is 20 * 15?,Medium,300
820,What is 41 - 98?,Easy,-57
821,What is 17 - 29?,Hard,-12
822,What is the square root of 86?,Hard,Not a perfect square
823,What is 35 - 15?,Hard,20
824,What is 4 - 69?,Hard,-65
825,What is 84 + 98?,Medium,182
826,What is the square root of 10?,Medium,Not a perfect square
827,What is 79 - 23?,Medium,56
828,What is 14 - 51?,Easy,-37
829,What is the square root of 42?,Easy,Not a perfect square
830,What is the square root of 63?,Hard,Not a perfect square
831,What is 65 + 62?,Medium,127
832,What is 69 * 72?,Medium,4968
833,What is 56 squared?,Medium,3136
834,What is 99 - 62?,Medium,37
835,What is 77 + 22?,Hard,99
836,What is 88 squared?,Easy,7744
837,What is 94 * 5?,Medium,470
838,What is 36 + 38?,Easy,74
839,What is 57 - 15?,Hard,42
840,What is 91 squared?,Medium,8281
841,What is the square root of 17?,Easy,Not a perfect square
842,What is 41 * 29?,Hard,1189
843,What is 66 squared?,Hard,4356
844,What is 16 + 70?,Hard,86
845,What is the square root of 44?,Medium,Not a perfect square
846,What is the square root of 62?,Medium,Not a perfect square
847,What is 54 + 92?,Hard,146
848,What is 50 squared?,Easy,2500
849,What is 35 - 60?,Medium,-25
850,What is the square root of 5?,Hard,Not a perfect square
851,What is 68 - 32?,Medium,36
852,What is 45 * 47?,Easy,2115
853,What is 54 + 4?,Hard,58
854,What is the square root of 63?,Hard,Not a perfect square
855,What is 36 * 47?,Hard,1692
856,What is 58 - 61?,Medium,-3
857,What is 56 - 42?,Hard,14
858,What is 41 * 96?,Hard,3936
859,What is 23 squared?,Hard,529
860,What is 27 squared?,Hard,729
861,What is 47 squared?,Medium,2209
862,What is 12 - 75?,Hard,-63
863,What is 80 + 8?,Easy,88
864,What is 58 * 28?,Easy,1624
865,What is 10 + 13?,Medium,23
866,What is 3 * 60?,Medium,180
867,What is the square root of 39?,Hard,Not a perfect square
868,What is the square root of 67?,Hard,Not a perfect square
869,What is 24 squared?,Hard,576
870,What is 26 + 51?,Hard,77
871,What is 65 * 81?,Easy,5265
872,What is 75 - 35?,Easy,40
873,What is 100 + 61?,Easy,161
874,What is 33 squared?,Easy,1089
875,What is 61 * 98?,Hard,5978
876,What is 68 * 45?,Easy,3060
877,What is the square root of 10?,Medium,Not a perfect square
878,What is 6 squared?,Easy,36
879,What is 30 * 91?,Hard,2730
880,What is the square root of 99?,Easy,Not a perfect square
881,What is 80 + 97?,Hard,177
882,What is 44 + 11?,Easy,55
883,What is 83 squared?,Easy,6889
884,What is 73 * 46?,Easy,3358
885,What is the square root of 100?,Medium,10
886,What is 100 squared?,Easy,10000
887,What is the square root of 46?,Medium,Not a perfect square
888,What is 54 - 29?,Hard,25
889,What is 13 - 24?,Medium,-11
890,What is the square root of 43?,Medium,Not a perfect square
891,What is 23 squared?,Hard,529
892,What is 8 * 27?,Easy,216
893,What is 19 - 78?,Easy,-59
894,What is 52 + 96?,Hard,148
895,What is 79 * 76?,Easy,6004
896,What is 5 * 61?,Easy,305
897,What is 99 squared?,Easy,9801
898,What is 34 - 72?,Medium,-38
899,What is 28 + 72?,Easy,100
900,What is 57 - 99?,Hard,-42
901,What is 48 squared?,Hard,2304
902,What is 51 squared?,Hard,2601
903,What is 40 + 20?,Medium,60
904,What is 53 + 87?,Easy,140
905,What is the square root of 85?,Hard,Not a perfect square
906,What is the square root of 72?,Hard,Not a perfect square
907,What is the square root of 68?,Easy,Not a perfect square
908,What is 83 squared?,Hard,6889
909,What is 43 squared?,Easy,1849
910,What is 70 + 62?,Medium,132
911,What is 35 + 74?,Easy,109
912,What is 9 - 6?,Easy,3
913,What is 92 * 98?,Medium,9016
914,What is 71 + 70?,Hard,141
915,What is 17 * 3?,Hard,51
916,What is 10 squared?,Easy,100
917,What is 80 + 1?,Easy,81
918,What is 63 squared?,Hard,3969
919,What is 6 - 64?,Easy,-58
920,What is 96 - 18?,Hard,78
921,What is 72 squared?,Hard,5184
922,What is 2 * 44?,Hard,88
923,What is 27 * 92?,Easy,2484
924,What is 81 squared?,Medium,6561
925,What is 32 - 12?,Easy,20
926,What is 44 * 64?,Medium,2816
927,What is 59 * 23?,Medium,1357
928,What is 68 + 91?,Medium,159
929,What is 24 squared?,Medium,576
930,What is 69 squared?,Medium,4761
931,What is 27 squared?,Easy,729
932,What is 79 + 48?,Medium,127
933,What is 100 squared?,Hard,10000
934,What is 98 * 35?,Hard,3430
935,What is 18 - 33?,Easy,-15
936,What is the square root of 61?,Easy,Not a perfect square
937,What is 41 squared?,Easy,1681
938,What is 37 * 89?,Easy,3293
939,What is 70 + 2?,Medium,72
940,What is 8 + 42?,Easy,50
941,What is 17 + 59?,Medium,76
942,What is 71 * 23?,Medium,1633
943,What is 23 * 33?,Easy,759
944,What is 43 - 76?,Easy,-33
945,What is the square root of 40?,Medium,Not a perfect square
946,What is 90 - 45?,Easy,45
947,What is 30 - 95?,Medium,-65
948,What is 78 + 89?,Hard,167
949,What is 20 squared?,Easy,400
950,What is the square root of 27?,Easy,Not a perfect square
951,What is 100 * 34?,Easy,3400
952,What is 27 squared?,Hard,729
953,What is 74 - 95?,Easy,-21
954,What is 37 + 70?,Medium,107
955,What is 51 + 79?,Hard,130
956,What is 47 squared?,Easy,2209
957,What is 83 - 96?,Medium,-13
958,What is 66 - 67?,Medium,-1
959,What is 57 * 33?,Medium,1881
960,What is the square root of 73?,Medium,Not a perfect square
961,What is 39 squared?,Hard,1521
962,What is 73 - 46?,Easy,27
963,What is 5 + 53?,Easy,58
964,What is 10 + 79?,Easy,89
965,What is 68 * 51?,Hard,3468
966,What is 52 squared?,Easy,2704
967,What is 9 - 96?,Easy,-87
968,What is 15 + 33?,Hard,48
969,What is 15 - 80?,Easy,-65
970,What is 26 * 50?,Medium,1300
971,What is the square root of 82?,Hard,Not a perfect square
972,What is 30 + 85?,Medium,115
973,What is 16 + 7?,Hard,23
974,What is the square root of 99?,Hard,Not a perfect square
975,What is 76 - 76?,Hard,0
976,What is 49 squared?,Easy,2401
977,What is 75 + 53?,Hard,128
978,What is 85 * 3?,Medium,255
979,What is the square root of 28?,Medium,Not a perfect square
980,What is 60 * 34?,Hard,2040
981,What is 93 * 96?,Hard,8928
982,What is 37 + 4?,Medium,41
983,What is 40 squared?,Hard,1600
984,What is 28 + 34?,Medium,62
985,What is 67 - 49?,Hard,18
986,What is 55 * 47?,Medium,2585
987,What is the square root of 99?,Easy,Not a perfect square
988,What is 54 + 8?,Easy,62
989,What is 52 - 81?,Medium,-29
990,What is the square root of 69?,Easy,Not a perfect square
991,What is 66 squared?,Medium,4356
992,What is the square root of 66?,Easy,Not a perfect square
993,What is 58 + 33?,Medium,91
994,What is 60 * 23?,Medium,1380
995,What is 23 + 56?,Easy,79
996,What is 44 - 48?,Medium,-4
997,What is 50 * 94?,Easy,4700
998,What is 2 + 8?,Hard,10
999,What is the square root of 35?,Easy,Not a perfect square
1000,What is 90 squared?,Easy,8100
1001,What is 75 * 88?,Medium,6600
1002,What is 30 + 61?,Easy,91
1003,What is 68 * 69?,Hard,4692
1004,What is 48 squared?,Easy,2304
1005,What is 69 * 43?,Medium,2967
1006,What is 35 - 25?,Easy,10
1007,What is 28 + 72?,Easy,100
1008,What is the square root of 69?,Medium,Not a perfect square
1009,What is 98 squared?,Medium,9604
1010,What is 30 + 91?,Hard,121
1011,What is 97 + 50?,Hard,147
1012,What is 78 * 61?,Hard,4758
1013,What is the square root of 87?,Easy,Not a perfect square
1014,What is the square root of 3?,Easy,Not a perfect square
1015,What is 38 squared?,Hard,1444
1016,What is 55 - 10?,Easy,45
1017,What is 21 squared?,Hard,441
1018,What is 82 * 22?,Medium,1804
1019,What is the square root of 54?,Hard,Not a perfect square
1020,What is 9 - 93?,Easy,-84
1021,What is 73 + 12?,Medium,85
1022,What is 56 * 10?,Easy,560
1023,What is 46 + 38?,Hard,84
1024,What is 20 + 99?,Hard,119
1025,What is 54 + 35?,Hard,89
1026,What is 10 - 67?,Medium,-57
1027,What is 35 + 2?,Hard,37
1028,What is 54 + 66?,Hard,120
1029,What is 67 squared?,Easy,4489
1030,What is 52 * 49?,Easy,2548
1031,What is 30 - 98?,Easy,-68
1032,What is 77 + 89?,Easy,166
1033,What is 26 * 49?,Medium,1274
1034,What is 5 + 71?,Hard,76
1035,What is 17 squared?,Medium,289
1036,What is 57 * 33?,Hard,1881
1037,What is 69 + 67?,Hard,136
1038,What is 23 + 32?,Hard,55
1039,What is 17 * 4?,Easy,68
1040,What is 88 + 59?,Medium,147
1041,What is 18 * 33?,Medium,594
1042,What is the square root of 19?,Hard,Not a perfect square
1043,What is 36 - 6?,Hard,30
1044,What is 6 * 71?,Hard,426
1045,What is the square root of 2?,Medium,Not a perfect square
1046,What is 43 + 82?,Medium,125
1047,What is 69 - 85?,Hard,-16
1048,What is 12 * 18?,Hard,216
1049,What is 41 - 29?,Hard,12
1050,What is the square root of 8?,Medium,Not a perfect square
1051,What is 77 squared?,Hard,5929
1052,What is 26 + 39?,Easy,65
1053,What is 82 * 6?,Easy,492
1054,What is 40 - 24?,Medium,16
1055,What is 29 - 79?,Hard,-50
1056,What is the square root of 77?,Medium,Not a perfect square
1057,What is the square root of 84?,Medium,Not a perfect square
1058,What is 74 * 86?,Easy,6364
1059,What is the square root of 8?,Medium,Not a perfect square
1060,What is 66 - 53?,Easy,13
1061,What is 23 squared?,Hard,529
1062,What is 24 * 46?,Medium,1104
1063,What is 79 - 4?,Hard,75
1064,What is 73 squared?,Hard,5329
1065,What is 98 * 96?,Medium,9408
1066,What is 84 * 26?,Easy,2184
1067,What is 26 squared?,Medium,676
1068,What is 65 * 37?,Medium,2405
1069,What is the square root of 86?,Hard,Not a perfect square
1070,What is 93 squared?,Hard,8649
1071,What is 7 - 13?,Easy,-6
1072,What is 17 + 64?,Hard,81
1073,What is 11 - 19?,Easy,-8
1074,What is the square root of 58?,Easy,Not a perfect square
1075,What is 94 + 66?,Medium,160
1076,What is the square root of 22?,Hard,Not a perfect square
1077,What is 56 + 52?,Easy,108
1078,What is 61 squared?,Hard,3721
1079,What is 95 + 69?,Easy,164
1080,What is 58 * 70?,Hard,4060
1081,What is 67 - 4?,Hard,63
1082,What is 48 squared?,Easy,2304
1083,What is 35 - 70?,Hard,-35
1084,What is 24 squared?,Hard,576
1085,What is the square root of 24?,Easy,Not a perfect square
1086,What is 13 * 21?,Medium,273
1087,What is 89 - 78?,Easy,11
1088,What is the square root of 86?,Medium,Not a perfect square
1089,What is 13 + 64?,Easy,77
1090,What is 84 * 47?,Easy,3948
1091,What is 16 squared?,Hard,256
1092,What is 13 * 85?,Easy,1105
1093,What is 21 squared?,Easy,441
1094,What is 9 - 10?,Easy,-1
1095,What is the square root of 78?,Hard,Not a perfect square
1096,What is 31 squared?,Easy,961
1097,What is 37 squared?,Medium,1369
1098,What is 6 * 45?,Medium,270
1099,What is the square root of 62?,Medium,Not a perfect square
1100,What is 56 - 75?,Medium,-19
1101,What is 64 * 80?,Hard,5120
1102,What is 35 + 82?,Hard,117
1103,What is 32 squared?,Easy,1024
1104,What is 93 squared?,Medium,8649
1105,What is 3 squared?,Medium,9
1106,What is 41 * 2?,Hard,82
1107,What is 12 squared?,Easy,144
1108,What is 32 - 53?,Medium,-21
1109,What is 24 * 94?,Hard,2256
1110,What is 60 squared?,Medium,3600
1111,What is 3 - 49?,Easy,-46
1112,What is 40 squared?,Easy,1600
1113,What is 38 squared?,Easy,1444
1114,What is 49 squared?,Hard,2401
1115,What is 15 squared?,Medium,225
1116,What is 66 - 98?,Hard,-32
1117,What is 74 - 74?,Hard,0
1118,What is 71 - 57?,Easy,14
1119,What is 84 + 60?,Easy,144
1120,What is 66 squared?,Medium,4356
1121,What is 28 squared?,Hard,784
1122,What is 64 * 87?,Medium,5568
1123,What is 24 * 87?,Medium,2088
1124,What is 62 - 32?,Medium,30
1125,What is 49 * 8?,Hard,392
1126,What is 38 - 86?,Easy,-48
1127,What is 60 squared?,Hard,3600
1128,What is 20 - 53?,Medium,-33
1129,What is 90 * 57?,Easy,5130
1130,What is 34 + 50?,Easy,84
1131,What is 24 + 99?,Easy,123
1132,What is 14 - 50?,Easy,-36
1133,What is 100 - 55?,Medium,45
1134,What is 66 + 99?,Hard,165
1135,What is 5 squared?,Easy,25
1136,What is the square root of 5?,Hard,Not a perfect square
1137,What is 75 * 91?,Medium,6825
1138,What is 31 squared?,Medium,961
1139,What is 14 + 40?,Medium,54
1140,What is 80 - 91?,Hard,-11
1141,What is 70 + 49?,Easy,119
1142,What is 14 - 18?,Medium,-4
1143,What is 12 + 46?,Medium,58
1144,What is 57 squared?,Hard,3249
1145,What is 80 * 42?,Medium,3360
1146,What is 41 - 83?,Easy,-42
1147,What is the square root of 42?,Easy,Not a perfect square
1148,What is 28 + 85?,Medium,113
1149,What is the square root of 35?,Medium,Not a perfect square
1150,What is 98 * 67?,Easy,6566
1151,What is the square root of 36?,Medium,6
1152,What is 24 * 23?,Medium,552
1153,What is 9 - 64?,Easy,-55
1154,What is the square root of 96?,Hard,Not a perfect square
1155,What is 18 * 56?,Easy,1008
1156,What is 37 squared?,Hard,1369
1157,What is 93 + 26?,Medium,119
1158,What is 39 - 2?,Hard,37
1159,What is 67 - 18?,Hard,49
1160,What is 75 + 95?,Medium,170
1161,What is 25 * 71?,Medium,1775
1162,What is 44 squared?,Hard,1936
1163,What is 74 - 15?,Medium,59
1164,What is 39 squared?,Easy,1521
1165,What is 14 - 93?,Medium,-79
1166,What is 76 * 15?,Hard,1140
1167,What is 6 - 11?,Easy,-5
1168,What is 28 + 11?,Medium,39
1169,What is 28 * 83?,Easy,2324
1170,What is the square root of 88?,Easy,Not a perfect square
1171,What is 36 - 25?,Hard,11
1172,What is 17 + 1?,Easy,18
1173,What is 26 * 40?,Medium,1040
1174,What is 66 + 61?,Easy,127
1175,What is the square root of 25?,Easy,5
1176,What is 45 + 16?,Medium,61
1177,What is 28 + 89?,Hard,117
1178,What is 82 - 22?,Easy,60
1179,What is 11 - 18?,Hard,-7
1180,What is 10 + 43?,Medium,53
1181,What is 39 * 25?,Hard,975
1182,What is 40 + 12?,Easy,52
1183,What is 12 - 20?,Medium,-8
1184,What is 58 squared?,Hard,3364
1185,What is 2 * 77?,Medium,154
1186,What is 16 * 41?,Hard,656
1187,What is 30 + 67?,Easy,97
1188,What is 83 - 83?,Medium,0
1189,What is 82 squared?,Easy,6724
1190,What is 58 + 46?,Hard,104
1191,What is 14 + 94?,Easy,108
1192,What is 66 * 37?,Hard,2442
1193,What is 6 squared?,Hard,36
1194,What is the square root of 15?,Easy,Not a perfect square
1195,What is the square root of 82?,Hard,Not a perfect square
1196,What is 94 squared?,Medium,8836
1197,What is 30 * 23?,Medium,690
1198,What is 8 squared?,Hard,64
1199,What is 38 squared?,Hard,1444
1200,What is 86 + 47?,Hard,133
1201,What is 29 * 28?,Hard,812
1202,What is 87 + 90?,Hard,177
1203,What is 78 squared?,Hard,6084
1204,What is the square root of 23?,Hard,Not a perfect square
1205,What is 29 * 29?,Easy,841
1206,What is the square root of 32?,Easy,Not a perfect square
1207,What is 77 - 83?,Hard,-6
1208,What is 9 squared?,Easy,81
1209,What is 66 * 62?,Hard,4092
1210,What is 91 squared?,Hard,8281
1211,What is 16 - 51?,Hard,-35
1212,What is the square root of 9?,Medium,3
1213,What is 16 + 37?,Hard,53
1214,What is the square root of 66?,Hard,Not a perfect square
1215,What is 15 squared?,Medium,225
1216,What is 90 + 31?,Easy,121
1217,What is 62 * 56?,Medium,3472
1218,What is 59 + 53?,Hard,112
1219,What is 91 - 86?,Medium,5
1220,What is the square root of 10?,Medium,Not a perfect square
